branch,host,compiler,mpi,netcdf,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
develop,hera,gfortran 9.2.0,openmpi 3.1.4,N/A N/A,O,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/2c3c2246600c7472d0fea70f0bdeca17643976f8/develop/hera/gfortran/9.2.0/O/openmpi/3.1.4),2022-03-18 15:48:45 +0000
develop,hera,gfortran 9.2.0,openmpi 3.1.4,N/A N/A,g,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/e4ecb00e59620f2ed20c1d356d37e3ca42c52a54/develop/hera/gfortran/9.2.0/g/openmpi/3.1.4),2022-03-18 16:01:19 +0000
develop,hera,gfortran 9.2.0b,intelmpi 2020,N/A N/A,O,Linux,pass,0,8807,0,49,0,80,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/ddcf0164037d5449274f4e0c42d98e5d7c4a407f/develop/hera/gfortran/9.2.0b/O/intelmpi/2020),2022-03-18 06:25:57 +0000
develop,hera,gfortran 9.2.0b,intelmpi 2020,N/A N/A,g,Linux,pass,0,8807,0,49,0,80,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/bdcf599f76068b290ffed88382a1480b7bce2ed3/develop/hera/gfortran/9.2.0b/g/intelmpi/2020),2022-03-18 06:35:36 +0000
develop,hera,intel 18.0.4,intelmpi 2018.4.274,4.7.4 4.5.3,O,Linux,pass,13269,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/7bea58af10fd4f8e36651b9dd4ecf580989f5003/develop/hera/intel/18.0.4/O/intelmpi/2018.4.274),2022-03-18 07:02:19 +0000
develop,hera,intel 18.0.4,intelmpi 2018.4.274,4.7.4 4.5.3,g,Linux,pass,13269,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/1221207ae34bc8960b7a0fff69a57f600c0600da/develop/hera/intel/18.0.4/g/intelmpi/2018.4.274),2022-03-18 07:09:54 +0000
develop,hera,intel 18.0.4,mpiuni none,N/A N/A,O,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/1d3f73c9584f4a83e9a41f3ba6c6e967fa64c53c/develop/hera/intel/18.0.4/O/mpiuni/none),2022-03-18 15:45:55 +0000
develop,hera,intel 18.0.4,mpiuni none,N/A N/A,g,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/55ff3237fec1f6608d1cc83941d84500ca08f7aa/develop/hera/intel/18.0.4/g/mpiuni/none),2022-03-18 15:57:46 +0000
develop,hera,pgi 18.1,intelmpi 2018.0.4,N/A N/A,O,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/4f37d16c2712fe458ef88589e6f3b1f50871070f/develop/hera/pgi/18.1/O/intelmpi/2018.0.4),2022-03-18 08:01:56 +0000
develop,hera,pgi 18.1,intelmpi 2018.0.4,N/A N/A,g,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/e0fdafff35585f81e5eba3f760f5919166b074d3/develop/hera/pgi/18.1/g/intelmpi/2018.0.4),2022-03-18 08:16:14 +0000
develop,jet,intel 2020.2,mvapich2 2.3,4.7.0 4.4.5,g,Linux,pass,13269,0,49,0,80,0,44,6,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/33a5404c9312293f10c2bfff96f41b373ced2ea1/develop/jet/intel/2020.2/g/mvapich2/2.3),2022-03-18 05:22:48 +0000
develop,orion,gfortran 8.3.0,mpiuni none,4.7.4 4.5.3,O,Linux,pass,11742,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/566af76af83e85672cc983ee3791ce639e8f08a0/develop/orion/gfortran/8.3.0/O/mpiuni/none),2022-03-18 03:34:00 -0500
develop,orion,gfortran 8.3.0,mpiuni none,4.7.4 4.5.3,g,Linux,pass,11742,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/7c3df2d67a1bfe2c5d5fc23e9f26f77bfe0324ac/develop/orion/gfortran/8.3.0/g/mpiuni/none),2022-03-18 03:41:13 -0500
develop,orion,gfortran 8.3.0,openmpi 4.0.2,4.7.4 4.5.3,O,Linux,pass,13269,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/80eef7d61af07a7bcb6a8b270a0a6c7234cfb17b/develop/orion/gfortran/8.3.0/O/openmpi/4.0.2),2022-03-18 03:40:14 -0500
develop,orion,gfortran 8.3.0,openmpi 4.0.2,4.7.4 4.5.3,g,Linux,pass,13269,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/f5e6d81a9df3121e746e4e88848d7b816bda5a48/develop/orion/gfortran/8.3.0/g/openmpi/4.0.2),2022-03-18 03:45:22 -0500
develop,orion,intel 2020,intelmpi 2020.2,4.7.4 4.5.3,O,Linux,pass,fail,fail,fail,fail,fail,fail,0,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/a0e8ee1cb9f62e3a8cf67071f984b7205ed94f8b/develop/orion/intel/2020/O/intelmpi/2020.2),2022-03-18 07:14:28 -0500
develop,orion,intel 2020,intelmpi 2020.2,4.7.4 4.5.3,g,Linux,pass,fail,fail,fail,fail,fail,fail,0,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/a0e8ee1cb9f62e3a8cf67071f984b7205ed94f8b/develop/orion/intel/2020/g/intelmpi/2020.2),2022-03-18 07:14:28 -0500
